id,target
0,0.02231
1,0.03685
2,0.01942
3,0.01640
4,0.01646
5,0.00903
6,0.04297
8,0.01713
10,0.04281
11,0.07357
12,0.02356
14,0.02465
15,0.08163
18,0.01860
21,0.04607
23,0.01878
24,0.02308
25,0.02882
27,0.02937
29,0.04766
30,0.02544
31,0.05917
32,0.02032
33,0.03750
37,0.04803
38,0.05777
39,0.04539
40,0.01519
41,0.05824
42,0.04047
44,0.02223
45,0.04014
47,0.05069
49,0.03132
51,0.02630
52,0.04645
53,0.03930
54,0.10190
55,0.01702
56,0.02621
57,0.11528
59,0.02465
60,0.04760
62,0.01525
63,0.07197
67,0.04300
68,0.01050
69,0.08175
70,0.02162
71,0.04610
73,0.06365
75,0.03623
76,0.04116
81,0.01791
82,0.04699
83,0.02586
86,0.01432
87,0.04898
88,0.05332
91,0.08820
92,0.03968
94,0.02938
97,0.02564
100,0.03477
102,0.12234
103,0.02785
105,0.04720
106,0.03802
108,0.01838
113,0.03426
114,0.13024
115,0.03722
118,0.03869
122,0.02484
124,0.05199
126,0.02208
128,0.01993
129,0.09571
130,0.08270
131,0.02686
132,0.04224
133,0.02063
134,0.04884
135,0.05816
136,0.01839
139,0.00769
140,0.01296
141,0.04546
146,0.02036
148,0.02965
151,0.03818
152,0.03269
154,0.02206
157,0.03347
158,0.01414
159,0.08419
161,0.02628
164,0.01534
165,0.06129
167,0.02491
168,0.05529
169,0.03819
171,0.02943
172,0.03435
173,0.06048
174,0.01738
175,0.05691
176,0.03811
178,0.02173
179,0.01240
180,0.02233
181,0.03204
182,0.05137
183,0.06849
184,0.03551
185,0.05816
187,0.02611
188,0.02475
190,0.04303
191,0.02709
192,0.05600
195,0.01834
196,0.03164
198,0.03915
201,0.03721
202,0.04857
203,0.02417
204,0.02354
207,0.03101
213,0.03673
219,0.02324
220,0.04793
222,0.04696
226,0.02194
228,0.11755
230,0.02956
231,0.02385
232,0.03702
233,0.01728
234,0.01150
236,0.02666
237,0.04629
238,0.03897
240,0.07167
241,0.01548
242,0.06826
243,0.04241
245,0.01857
246,0.04557
247,0.02220
249,0.03792
250,0.03095
251,0.01183
252,0.01580
253,0.03018
254,0.04862
255,0.06071
256,0.08345
257,0.02878
258,0.03640
259,0.06807
260,0.01288
262,0.01808
267,0.02499
268,0.03950
270,0.02276
272,0.03618
273,0.02736
274,0.01306
275,0.02647
276,0.02665
277,0.07075
278,0.04773
279,0.07615
281,0.04413
282,0.05244
283,0.05306
287,0.03996
288,0.04843
289,0.03546
290,0.03043
291,0.04359
292,0.09830
293,0.01079
294,0.02060
295,0.02029
296,0.09305
297,0.02627
298,0.03924
299,0.04731
300,0.11064
303,0.02217
304,0.04516
308,0.01786
314,0.12253
315,0.02472
317,0.03209
318,0.06251
320,0.10139
322,0.05540
323,0.01492
327,0.03846
329,0.05480
331,0.01571
332,0.13045
333,0.05679
334,0.03084
335,0.03315
336,0.06031
337,0.03271
341,0.03665
343,0.02658
345,0.07246
347,0.04611
348,0.02427
349,0.02263
352,0.02880
353,0.02659
354,0.12046
355,0.02200
356,0.02982
357,0.02303
358,0.03005
359,0.05440
361,0.06640
362,0.03547
365,0.02820
366,0.04283
368,0.02578
369,0.03718
371,0.02818
373,0.05375
376,0.03965
377,0.03252
379,0.03494
381,0.06354
382,0.02411
383,0.02184
384,0.02585
385,0.02902
386,0.05052
387,0.01431
388,0.13935
390,0.02564
391,0.03196
392,0.03620
393,0.04638
394,0.04030
396,0.03999
400,0.05098
402,0.02323
403,0.03581
405,0.02563
407,0.03659
409,0.02788
411,0.02653
412,0.01867
414,0.08101
415,0.05864
416,0.06258
418,0.01242
419,0.02855
421,0.01155
422,0.02954
423,0.03913
424,0.05506
426,0.06015
427,0.08538
428,0.07350
436,0.06249
438,0.06423
442,0.02230
443,0.01428
445,0.07093
446,0.06115
447,0.03322
450,0.05739
452,0.01721
453,0.03999
455,0.06724
458,0.05411
459,0.01810
461,0.02078
463,0.03890
467,0.05564
470,0.01932
471,0.03112
472,0.01882
476,0.04001
477,0.04970
481,0.09164
482,0.03435
483,0.09196
485,0.02116
487,0.01891
488,0.02080
490,0.01302
492,0.01705
494,0.03551
497,0.10592
499,0.02115
500,0.03579
501,0.03296
503,0.04495
505,0.03806
506,0.03163
507,0.02544
509,0.07172
510,0.04960
511,0.06681
512,0.01244
514,0.02158
515,0.02843
516,0.03667
517,0.07421
519,0.02610
520,0.04993
521,0.02489
522,0.11956
523,0.05628
527,0.03246
530,0.07917
532,0.06136
534,0.04145
536,0.04380
539,0.01577
543,0.01361
547,0.02458
550,0.04102
551,0.06685
552,0.04690
553,0.03528
555,0.04042
556,0.03131
557,0.02756
558,0.05314
559,0.04184
560,0.01242
561,0.01876
565,0.02538
566,0.04578
567,0.02516
571,0.02589
572,0.06544
574,0.01336
575,0.01769
576,0.07533
577,0.04608
578,0.01575
579,0.08242
581,0.02752
587,0.05123
589,0.02788
590,0.06886
591,0.03001
592,0.01869
593,0.03275
594,0.09031
595,0.03704
596,0.02308
597,0.05933
598,0.07446
600,0.02353
602,0.00911
605,0.01754
606,0.03331
607,0.02398
612,0.05228
613,0.03127
614,0.01016
615,0.03788
616,0.01420
617,0.01465
618,0.08564
620,0.02049
621,0.04255
622,0.01313
623,0.04517
628,0.02982
631,0.04251
632,0.02377
633,0.02274
634,0.05061
635,0.06908
637,0.05099
638,0.03336
640,0.02896
643,0.01520
644,0.07462
645,0.03433
646,0.04517
649,0.03483
651,0.04619
653,0.01029
654,0.04361
655,0.13484
656,0.02427
658,0.04816
659,0.03283
661,0.04451
662,0.02758
663,0.02240
664,0.03327
665,0.09506
667,0.02053
668,0.03156
671,0.07459
673,0.04090
674,0.05633
675,0.02462
676,0.04311
677,0.04849
678,0.04584
679,0.04288
680,0.04153
681,0.02177
682,0.04385
683,0.01748
684,0.02649
686,0.06432
687,0.04693
688,0.03584
690,0.02431
691,0.03042
692,0.05992
693,0.01881
694,0.06385
695,0.01224
696,0.02393
698,0.03539
699,0.01929
702,0.05220
703,0.01772
705,0.10236
706,0.09237
707,0.03551
708,0.00947
709,0.04059
710,0.06957
713,0.02388
714,0.01975
715,0.06827
716,0.03948
717,0.05683
718,0.01399
719,0.02506
720,0.03800
721,0.05601
723,0.03752
724,0.11401
726,0.03733
728,0.08786
730,0.05817
732,0.03197
734,0.04523
735,0.02770
737,0.02088
738,0.05081
741,0.04360
742,0.03726
743,0.02638
746,0.03745
747,0.04612
749,0.03495
750,0.03588
752,0.04467
755,0.02652
757,0.03490
758,0.02966
759,0.02352
765,0.05206
766,0.02655
767,0.04854
768,0.04635
769,0.01021
770,0.02058
771,0.04331
772,0.01227
773,0.06052
775,0.04134
776,0.02875
778,0.03486
779,0.02783
780,0.05078
782,0.07326
783,0.05486
784,0.03535
785,0.01196
786,0.02490
788,0.03673
789,0.04551
792,0.10515
793,0.02265
794,0.03677
797,0.06931
798,0.02646
799,0.07691
800,0.04832
801,0.03183
802,0.08672
805,0.05102
807,0.07036
808,0.01718
811,0.03087
813,0.01422
814,0.02624
815,0.08519
816,0.04923
817,0.01404
819,0.01677
821,0.06694
823,0.03456
825,0.02618
826,0.08285
827,0.04526
828,0.02866
830,0.01867
831,0.05970
833,0.02923
834,0.04007
835,0.02040
836,0.03523
837,0.06517
838,0.04370
840,0.08056
842,0.00914
844,0.04058
845,0.06530
847,0.08186
848,0.06853
850,0.02167
851,0.02741
852,0.04534
853,0.15626
855,0.02488
856,0.09870
857,0.04643
859,0.02215
860,0.05997
862,0.07999
863,0.04988
864,0.07590
867,0.02737
868,0.03340
869,0.02165
871,0.01672
873,0.03583
875,0.02741
876,0.08808
877,0.04731
879,0.02144
880,0.04304
883,0.03093
884,0.01881
885,0.03809
886,0.01301
887,0.02779
888,0.00972
891,0.03596
893,0.01378
895,0.04426
897,0.03003
898,0.06495
901,0.02608
902,0.04492
904,0.06068
905,0.02695
907,0.14447
908,0.02260
909,0.03282
910,0.02288
911,0.01661
913,0.03285
914,0.01958
915,0.15405
916,0.04079
917,0.01155
919,0.02265
920,0.01902
923,0.02048
924,0.04626
925,0.05057
926,0.02253
928,0.03059
929,0.02239
932,0.05098
935,0.02089
936,0.04694
937,0.03698
938,0.04033
939,0.03909
940,0.04049
941,0.03423
944,0.04083
945,0.02449
946,0.04842
947,0.02212
949,0.02040
950,0.08928
952,0.02299
953,0.05207
955,0.05281
956,0.04739
957,0.00949
960,0.01710
961,0.02615
962,0.03758
963,0.01845
964,0.01999
967,0.02685
975,0.02900
976,0.02974
977,0.01292
978,0.03470
980,0.02397
985,0.07539
986,0.04273
987,0.02295
989,0.07240
992,0.02575
994,0.07809
995,0.01348
996,0.01102
997,0.08075
998,0.06420
999,0.10967
1000,0.03896
1004,0.01430
1005,0.07284
1006,0.01912
1007,0.15037
1010,0.01548
1011,0.05272
1012,0.01531
1013,0.04223
1014,0.02643
1016,0.07682
1018,0.02828
1019,0.02187
1020,0.05910
1022,0.05212
1023,0.06138
1024,0.03080
1025,0.02449
1029,0.03330
1031,0.02825
1032,0.02327
1033,0.01266
1034,0.04996
1035,0.04527
1036,0.02727
1037,0.06361
1038,0.03439
1039,0.03883
1041,0.01416
1043,0.01853
1049,0.03557
1050,0.12005
1051,0.03759
1052,0.03205
1053,0.02908
1054,0.03386
1056,0.04872
1057,0.10066
1060,0.07473
1061,0.03238
1062,0.02511
1063,0.04556
1064,0.09420
1065,0.01094
1066,0.01687
1068,0.05266
1073,0.05341
1075,0.03524
1079,0.02434
1081,0.03302
1083,0.03184
1085,0.02841
1086,0.02196
1087,0.02427
1088,0.01104
1089,0.02620
1090,0.05874
1091,0.01669
1092,0.02555
1095,0.02565
1098,0.02600
1099,0.03835
1100,0.03387
1101,0.04697
1103,0.05914
1104,0.03738
1106,0.01047
1107,0.03433
1108,0.05914
1109,0.03007
1113,0.03852
1114,0.03833
1116,0.03222
1117,0.02896
1118,0.04153
1119,0.01154
1120,0.01767
1121,0.02445
1122,0.01569
1123,0.05997
1125,0.02251
1126,0.03863
1127,0.02800
1128,0.06328
1129,0.03686
1130,0.02661
1132,0.03772
1133,0.06539
1136,0.01234
1137,0.07962
1140,0.05114
1142,0.04799
1144,0.03949
1145,0.03954
1146,0.02900
1148,0.03633
1150,0.02777
1151,0.02452
1153,0.02647
1154,0.03318
1155,0.03237
1156,0.05367
1157,0.02470
